NAME,AREA,DISTRCT,LAT,LONG,RIVER,DETAILS_URL,ALTITUDE,ALKALINITY,DEPTH
Kilbirnie Loch,0.81,Clyde,55.75464,-4.6612,Black Cart Water,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100300,Lowland,Medium alkalinity,Deep
Lake of Menteith,2.52,Forth,56.17439,-4.29212,River Forth,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100271,Lowland,Medium alkalinity,Deep
Loch a  Ghlinne,0.52,West Highland,58.00377,-7.03934,Lewis and Harris Coastal,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100082,Lowland,Medium alkalinity,Deep
Loch Achilty,0.57,North Highland,57.57268,-4.62172,River Conon,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100140,Lowland,Medium alkalinity,Deep
Loch Airigh na h-Airde,0.91,West Highland,58.11166,-6.73144,Abhainn Ghriomarstaidh,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100067,Lowland,Medium alkalinity,Deep
Loch an Alltan Fhearna,0.85,North Highland,58.27313,-4.13321,River Helmsdale,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100046,Lowland,Medium alkalinity,Deep
Loch an Daimh,0.68,North Highland,57.90563,-4.90884,River Oykel,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100098,Mid-altitude,Medium alkalinity,Deep
Loch an Dheurue,1.96,North Highland,58.39629,-4.49955,Tongue Coastal,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100031,Lowland,Medium alkalinity,Deep
Loch an Leathiad Bhuain,1.08,West Highland,58.2789,-4.945,Minch Coastal,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100045,Lowland,Medium alkalinity,Deep
Loch an Ruathair,2.3,North Highland,58.30525,-3.9358,River Helmsdale,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100044,Lowland,Medium alkalinity,Deep
Loch Arienas,1.73,Argyll,56.5955,-5.77665,River Aline,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100227,Lowland,Medium alkalinity,Deep
Loch Arklet,2.2,Clyde,56.24682,-4.61946,River Leven (Loch Lomond),https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100263,Lowland,Medium alkalinity,Deep
Loch Ashie,1.37,North Highland,57.38341,-4.28185,River Ness,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100159,Mid-altitude,Medium alkalinity,Deep
